no,date,people,points,numinyear
102,2018-10-15,3900,440,22
101,2018-10-03,3900,445,21
100,2018-09-24,400,284,20
99,2018-09-19,3500,441,19
98,2018-09-05,3900,440,18
97,2018-08-22,3750,440,17
96,2018-08-08,3750,440,16
95,2018-07-25,3750,441,15
94,2018-07-11,3750,442,14
93,2018-06-25,3750,442,13
92,2018-06-13,3750,451,12
90,2018-05-23,3500,440,10
89,2018-05-09,3500,441,9
88,2018-04-25,3500,441,8
87,2018-04-11,3500,444,7
86,2018-03-26,3000,446,6
85,2018-03-14,3000,456,5
84,2018-02-21,3000,442,4
83,2018-02-07,3000,442,3
82,2018-01-24,2750,444,2
81,2018-01-10,2750,446,1
80,2017-12-20,2750,446,30
79,2017-12-06,2750,452,29
78,2017-11-15,2750,439,28
77,2017-11-08,2000,458,27
76,2017-11-01,290,673,26
74,2017-10-18,2757,436,24
73,2017-10-04,2801,438,23
72,2017-09-20,2871,433,22
71,2017-09-06,2772,435,21
70,2017-08-23,3035,434,20
69,2017-08-09,2991,433,19
68,2017-08-02,3264,441,18
67,2017-07-12,3202,440,17
66,2017-06-28,3409,449,16
65,2017-05-31,3877,413,15
62,2017-05-17,3687,415,12
61,2017-05-04,3796,423,11
60,2017-04-19,3665,415,10
59,2017-04-12,3923,423,9
58,2017-04-05,3753,431,8
57,2017-03-24,3749,441,7
56,2017-03-01,3884,434,6
55,2017-02-22,3611,441,5
54,2017-02-08,3664,447,4
53,2017-01-25,3508,453,3
52,2017-01-11,3334,459,2
51,2017-01-04,2902,468,1
50,2016-12-22,2878,475,27
49,2016-12-16,1936,497,26
48,2016-11-30,559,786,25
47,2016-11-16,2427,470,24
46,2016-11-02,2080,472,23
45,2016-10-19,1804,475,22
44,2016-10-12,1518,484,21
43,2016-09-21,1288,483,20
42,2016-09-07,1000,491,19
41,2016-08-24,750,538,18
40,2016-08-10,754,490,17
39,2016-07-27,755,488,16
38,2016-07-13,747,482,15
37,2016-06-29,773,482,14
36,2016-06-15,752,488,13
35,2016-06-01,762,483,12
34,2016-05-18,763,484,11
33,2016-05-06,799,534,10
32,2016-04-20,1018,468,9
31,2016-04-06,954,470,8
30,2016-03-23,1014,470,7
29,2016-03-09,1013,473,6
28,2016-02-24,1484,453,5
27,2016-02-10,1505,459,4
26,2016-01-27,1468,457,3
25,2016-01-13,1518,453,2
24,2016-01-06,1463,461,1
23,2015-12-18,1503,460,23
22,2015-12-04,1451,461,22
21,2015-11-27,1559,472,21
20,2015-11-13,1506,484,20
19,2015-10-23,1502,489,19
18,2015-10-02,1530,450,18
17,2015-09-18,1545,450,17
16,2015-09-08,1517,459,16
15,2015-08-21,1523,456,15
14,2015-08-07,1402,471,14
13,2015-07-17,1581,451,13
12,2015-07-10,1516,463,12
11,2015-06-26,1575,469,11
10,2015-06-12,1501,482,10
9,2015-05-22,1361,755,9
8,2015-04-17,715,453,8
7,2015-04-10,925,469,7
6,2015-03-27,1637,453,6
5,2015-03-20,1620,481,5
4,2015-02-27,1187,735,4
3,2015-02-20,849,808,3
2,2015-02-07,779,818,2
1,2015-01-31,779,886,1
413,飞出国,累计人数:,219440,最低分数:
