age,male,female,
Age,Male,Female,
0,886,815,
1,"1,901","1,848",
2,"1,722","1,671",
3,"1,806","1,649",
4,"1,830","1,816",
5,"1,859","1,849",
6,"1,865","1,784",
7,"1,802","1,731",
8,"1,723","1,620",
9,"1,677","1,579",
10,"1,613","1,484",
11,"1,608","1,499",
12,"1,593","1,406",
13,"1,585","1,419",
14,"1,541","1,338",
15,"1,393","1,293",
16,"1,378","1,319",
17,"1,406","1,221",
18,"1,140","1,161",
19,"1,307","1,259",
20,"1,210","1,351",
21,"1,277","1,573",
22,"1,445","1,957",
23,"1,687","2,347",
24,"2,107","3,086",
25,"2,857","4,090",
26,"3,549","4,680",
27,"3,942","5,080",
28,"4,250","5,125",
29,"4,390","5,169",
30,"4,414","5,368",
31,"4,335","5,180",
32,"4,364","5,122",
33,"4,134","4,670",
34,"3,947","4,426",
35,"3,751","3,909",
36,"3,388","3,472",
37,"3,081","3,181",
38,"2,810","2,948",
39,"2,557","2,704",
40,"2,331","2,339",
41,"2,095","2,157",
42,"1,974","1,992",
43,"1,836","1,911",
44,"1,704","1,714",
45,"1,548","1,565",
46,"1,440","1,328",
47,"1,220","1,168",
48,"1,140","1,086",
49,"1,076",983,
50,967,922,
51,845,889,
52,715,703,
53,664,720,
54,618,682,
55,477,629,
56,557,607,
57,492,581,
58,492,643,
59,456,648,
60,479,618,
61,428,525,
62,417,595,
63,431,543,
64,429,560,
65,400,563,
66,382,517,
67,361,464,
68,372,399,
69,299,396,
70,297,343,
71,278,306,
72,276,283,
73,212,221,
74,231,289,
75,191,203,
76,179,181,
77,148,151,
78,114,125,
79,112,115,
80,69,69,
81,69,54,
82,39,57,
83,39,48,
84,28,31,
85,26,25,
86,10,23,
87,26,21,
88,17,16,
89,5,11,
90+,18,24,
Grand Total,"124,159","136,242",
